Series ID,year,period,label,value
LNS13000061Q,2019,Q04,2019 Qtr4,1613
LNS13000061Q,2020,Q01,2020 Qtr1,1780
LNS13000062,2010,M01,2010 Jan,3722
LNS13000062,2010,M02,2010 Feb,3661
LNS13000062,2010,M03,2010 Mar,3798
LNS13000062,2010,M04,2010 Apr,3816
LNS13000062,2010,M05,2010 May,3737
LNS13000062,2010,M06,2010 Jun,3538
LNS13000062,2010,M07,2010 Jul,3596
LNS13000062,2010,M08,2010 Aug,3719
LNS13000062,2010,M09,2010 Sep,3722
LNS13000062,2010,M10,2010 Oct,3705
LNS13000062,2010,M11,2010 Nov,3882
LNS13000062,2010,M12,2010 Dec,3710
LNS13000062,2011,M01,2011 Jan,3521
LNS13000062,2011,M02,2011 Feb,3618
LNS13000062,2011,M03,2011 Mar,3544
LNS13000062,2011,M04,2011 Apr,3673
LNS13000062,2011,M05,2011 May,3614
LNS13000062,2011,M06,2011 Jun,3663
LNS13000062,2011,M07,2011 Jul,3460
LNS13000062,2011,M08,2011 Aug,3635
LNS13000062,2011,M09,2011 Sep,3716
LNS13000062,2011,M10,2011 Oct,3486
LNS13000062,2011,M11,2011 Nov,3549
LNS13000062,2011,M12,2011 Dec,3587
LNS13000062,2012,M01,2012 Jan,3601
LNS13000062,2012,M02,2012 Feb,3551
LNS13000062,2012,M03,2012 Mar,3337
LNS13000062,2012,M04,2012 Apr,3338
LNS13000062,2012,M05,2012 May,3394
LNS13000062,2012,M06,2012 Jun,3433
LNS13000062,2012,M07,2012 Jul,3415
LNS13000062,2012,M08,2012 Aug,3350
LNS13000062,2012,M09,2012 Sep,3240
LNS13000062,2012,M10,2012 Oct,3221
LNS13000062,2012,M11,2012 Nov,3137
LNS13000062,2012,M12,2012 Dec,3291
LNS13000062,2013,M01,2013 Jan,3228
LNS13000062,2013,M02,2013 Feb,3078
LNS13000062,2013,M03,2013 Mar,3084
LNS13000062,2013,M04,2013 Apr,2926
LNS13000062,2013,M05,2013 May,2956
LNS13000062,2013,M06,2013 Jun,3051
LNS13000062,2013,M07,2013 Jul,2938
LNS13000062,2013,M08,2013 Aug,2775
LNS13000062,2013,M09,2013 Sep,2750
LNS13000062,2013,M10,2013 Oct,2820
LNS13000062,2013,M11,2013 Nov,2804
LNS13000062,2013,M12,2013 Dec,2714
